Category,Product (CN),Product (EN),Specification,Count,Supply Price (CNY),Min Price (CNY),Price (USD)
中高阶,御制白龙涎,WHITE DRAGON'S REALM,"18mm
18籽手持",19.0,534.8,1669.0,267.0
中高阶,御制黑龙涎,IMPERIAL DRAGON'S NECTAR,10mm素单圈,20.0,235.8,669.0,124.0
中高阶,御制黑龙涎,IMPERIAL DRAGON'S NECTAR,15mm单圈,15.0,262.8,869.0,153.0
中高阶,御制黑龙涎,IMPERIAL DRAGON'S NECTAR,18mm单圈,13.0,370.8,1169.0,196.0
中高阶,御制黑龙涎,IMPERIAL DRAGON'S NECTAR,"18mm
18籽手持",19.0,532.8,1669.0,267.0
顶阶,红麝-,RED MUSK SCENTED HARMONY BLEND,10mm素单圈,20.0,2567.0,4068.0,610.0
顶阶,红麝-,RED MUSK SCENTED HARMONY BLEND,14mm单圈,16.0,2639.0,4499.0,671.0
顶阶,红麝-,RED MUSK SCENTED HARMONY BLEND,18mm单圈,13.0,2621.0,4939.0,734.0
顶阶,安宫牛黄,AN GONG NIU HUANG,10mm素单圈,20.0,1343.0,3600.0,543.0
顶阶,安宫牛黄,AN GONG NIU HUANG,14mm单圈,15.0,1397.0,3700.0,557.0
顶阶,安宫牛黄,AN GONG NIU HUANG,18mm单圈,13.0,1451.0,3900.0,586.0
顶阶,大苏合,GRAND SUHE INCENSE,10mm素单圈,20.0,1343.0,3298.0,500.0
顶阶,大苏合,GRAND SUHE INCENSE,14mm单圈,15.0,1397.0,3538.0,534.0
顶阶,大苏合,GRAND SUHE INCENSE,18mm单圈,13.0,1451.0,3738.0,563.0
高阶,返魂香(-),FANTIAN XIANG RETURN SOUL INCENSE,10mm素单圈,20.0,1343.0,2638.0,405.0
高阶,返魂香(-),FANTIAN XIANG RETURN SOUL INCENSE,15mm单圈,15.0,1397.0,3298.0,500.0
高阶,返魂香(-),FANTIAN XIANG RETURN SOUL INCENSE,18mm单圈,13.0,1451.0,3980.0,597.0
高阶,龙涎紫雪,LONG YAN ZI XUE,10素单圈,20.0,1343.0,2638.0,405.0
高阶,龙涎紫雪,LONG YAN ZI XUE,15单圈,15.0,1397.0,3298.0,500.0
高阶,龙涎紫雪,LONG YAN ZI XUE,18单圈,13.0,1503.0,3980.0,597.0
高阶,孔韵迷迭,CONFUCIAN CHARM ROSEMARY,10素单圈,20.0,1343.0,2638.0,405.0
高阶,孔韵迷迭,CONFUCIAN CHARM ROSEMARY,15单圈,15.0,1397.0,3298.0,500.0
高阶,孔韵迷迭,CONFUCIAN CHARM ROSEMARY,18单圈,13.0,1451.0,3980.0,597.0
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,10素单圈,20.0,1487.0,3600.0,543.0
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,15单圈,15.0,1802.0,3799.0,571.0
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,18单圈,13.0,2036.0,3999.0,600.0
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,,,,,
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,,,,,
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,,,,,
